color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
green,1,clustering,59.99999999999999,-60.00000000000001,70.3995852963526,1.0687505531474026,0.922052903447041,-1.2633323652858826
green,1,clustering,59.99999999999999,-60.00000000000001,70.56824913919306,1.3971885007922848,1.6573711435763014,-1.3627359419010583
green,1,clustering,59.99999999999999,-60.00000000000001,70.33631289275908,0.9512697948393586,1.3591848434680112,-0.9994235781874248
green,1,clustering,59.99999999999999,-60.00000000000001,70.541777739027,1.3708620830996188,1.606851210311683,-1.304104883636096
green,1,clustering,59.99999999999999,-60.00000000000001,70.48137863738143,1.2224530080083285,1.2951944022332094,-1.1963801521736215
green,1,clustering,59.99999999999999,-60.00000000000001,70.56651170420986,1.4674846179457024,1.6820446763804298,-1.1204310525080068
c,1,clustering,36.0,45.0,69.89459701792128,0.8241888199518941,1.220026610863599,0.4504370782357378
c,1,clustering,36.0,45.0,69.76077519092414,0.955176681410685,1.0859505722884841,0.7734976936282691
c,1,clustering,36.0,45.0,69.74071430306975,1.007557001917652,0.6566899042589658,0.8054991088323562
c,1,clustering,36.0,45.0,69.66239848297164,1.2954234396667987,0.7609652197420826,0.81585416347483
c,1,clustering,36.0,45.0,69.82444684851518,0.747474989572382,0.46988353260849897,0.7745446533335176
c,1,clustering,36.0,45.0,69.92767133677144,0.43466947363533814,0.7510981511848865,0.5782301800910947
c,1,clustering,36.0,45.0,69.67614520900956,1.0552738988527313,0.8120577720312683,0.9121088461276867
c,1,clustering,36.0,45.0,69.9240963744562,0.5374863770882441,0.9253925945213193,0.4869482046118873
c,1,clustering,36.0,45.0,69.87883488056343,0.6981206830288781,0.7920174761653993,0.5670917114953757
c,1,clustering,36.0,45.0,69.9522125320339,0.6528111173350837,1.2144718599607622,0.35596552331106324
y,1,clustering,108.0,-330.0,69.97006617931503,-1.21510274024375,-1.091968810920098,-0.13320343614881963
y,1,clustering,108.0,-330.0,69.82900087292876,-1.2170343933622763,-1.1110765105534874,-0.4005567881967379
y,1,clustering,108.0,-330.0,69.76365934756173,-1.0916501303127883,-1.2998618043448484,-0.6391342596922069
y,1,clustering,108.0,-330.0,69.75170438305274,-1.2793764020561451,-1.4139960431317207,-0.6295418893313686
y,1,clustering,108.0,-330.0,69.8812708810054,-0.8229162543337436,-1.0922131305930456,-0.46016536636120314
y,1,clustering,108.0,-330.0,70.0085034813401,-0.8399362776899435,-0.8605565304060435,-0.04666091845522465
y,1,clustering,108.0,-330.0,69.77740389365322,-1.1416050987295265,-1.1724807797996442,-0.5513903245610742
